country_clean,country_pl,iso3,n_records,n_products,n_main_categories,n_sub_categories,median_price_eur,mean_price_eur,min_price_eur,q1_price_eur,q3_price_eur,max_price_eur,iqr_price_eur,mean_rating,median_rating_count,currencies,price_range_eur,price_index,compared_products
Australia,Australia,AUS,8447,8447,23,169,35.516494100650135,152.66919274075366,0.30098723814110284,9.029617144233084,167.95087888273537,3253.6720443053214,158.9212617385023,4.380749093838099,53,AUD,3253.37105706718,100,8022
Austria,Austria,AUT,9877,9877,22,164,45,186.34528601802165,0.39,9.99,216,3760,206.01,4.329041197118049,4,EUR,3759.61,104.01859061968734,9517
Bahrain,Bahrajn,BHR,8003,8003,23,149,30.681818181818183,132.9186015471471,0.2272727272727273,7.954545454545454,152.04545454545456,2757.9545454545455,144.0909090909091,4.472078836227124,3,BHD,2757.727272727273,90.9090909090909,7764
Belgium,Belgia,BEL,9543,9543,22,164,40,180.15190610918998,0.29000000000000004,9.99,199,3599,189.01,4.376314542870677,58,EUR,3598.71,100.80808080808082,9277
Canada,Kanada,CAN,7944,7944,21,165,30.980853832331622,133.99347823387544,0.15490426916165811,8.048825825639755,136.31575686225912,3785.860338310924,128.26693103661935,4.380067758328628,55,CAD,3785.705434041762,90.32758241815714,7023
Chile,Chile,CHL,6903,6903,21,153,33.52720791851518,113.85752146384047,0.19163879919128424,9.572358019604648,139.87715952971837,1810.9770704176765,130.30480151011372,4.704841713221602,7,CLP,1810.7854316184853,95.81939959564212,6624
Colombia,Kolumbia,COL,5181,5181,21,141,30.53128523111612,108.34312760492203,0.23252536640360766,9.392615558060879,117.43470499812099,2348.738726042841,108.04208944006011,4.709070237493684,7,COP,2348.5062006764374,114.02333517277536,4951
Croatia,Chorwacja,HRV,8971,8971,22,165,39.99,145.08382120164976,0.29000000000000004,9.99,179,3599,169.01,4.383743169398907,59,EUR,3598.71,98.19947833633624,8756
Czech_Republic,Czechy,CZE,9165,9165,23,169,35.060221085629436,152.2599750328831,0.2062365946213496,8.208216465929715,178.60089094208877,3749.3812902161358,170.39267447615904,4.738215061549602,9,CZK,3749.1750536215145,97.57464668329618,8841
Denmark,Dania,DNK,9496,9496,22,170,40.01713107952568,174.08911593522564,0.40150967638320084,10.03774190958002,200.7548381916004,3800.958269760968,190.7170962820204,4.367618367832501,57,DKK,3800.5567600845848,100.46607917993899,9171
Egypt,Egipt,EGY,8959,8959,21,152,45.36466774716369,195.04208500348153,0.4051863857374392,11.3290113452188,216.0291734197731,3589.4651539708266,204.7001620745543,4.414202810018327,2,EGP,3589.059967585089,143.54133509066082,8447
Finland,Finlandia,FIN,9240,9240,22,167,39.99,174.75521753246753,0.29000000000000004,9.99,199,4180,189.01,4.372680601393473,59,EUR,4179.71,102.89054242002781,9007
France,Francja,FRA,9895,9895,21,165,44.99,174.28867205659424,0.25,9.99,199.9,3405,189.91,4.357111416781293,14,EUR,3404.75,101.17954305294157,9536
Germany,Niemcy,DEU,10300,10300,21,165,44.99,176.65596601941746,0.3,9.99,199,3330,189.01,4.367650976909414,52,EUR,3329.7,100,9842
Hungary,Węgry,HUN,8706,8706,21,164,37.145208825637894,157.7369817578712,0.2522369434192709,9.266388763507953,183.07755622228714,3787.5368398693677,173.81116745877918,4.750018511662347,8,HUF,3787.2846029259485,103.14849926216294,8513
India,Indie,IND,6365,6365,23,149,18.508098455643342,91.51295522507878,0.176710487767449,5.1060030412805,92.91251435772713,2813.4169762975434,87.80651131644663,4.390003538570418,55,INR,2813.240265809776,80.55151479566783,5807
Ireland,Irlandia,IRL,9394,9394,22,166,35,162.65199169682776,0.4,9,179,3870,170,4.4690784044016505,2,EUR,3869.6,100,8990
Italy,Włochy,ITA,10216,10216,22,168,39.949999999999996,164.07641444792483,0.5,9.950000000000001,195.5,2949,185.55,4.486190992946283,14,EUR,2948.5,99.91998399679935,9906
Japan,Japonia,JPN,8485,8485,22,167,21.718351164937815,105.25893891869651,0.2661163308532015,5.425514582088741,108.564601097051,2530.549068592842,103.13908651496226,4.372506702412869,52,JPY,2530.282952261989,77.62239680528533,7684
Jordan,Jordania,JOR,8643,8643,22,147,46.98795180722892,189.71609171848797,0.30120481927710846,12.036144578313253,215.66265060240966,3656.6265060240967,203.62650602409641,NA,NA,JOD,3656.3253012048194,124.22081638715676,8414
Kuwait,Kuwejt,KWT,8543,8543,21,152,38.75000000000001,155.16510593468337,0.41666666666666674,9.722222222222223,166.52777777777777,3402.777777777778,156.80555555555554,NA,NA,KWD,3402.3611111111113,100.86893237934905,8288
Malaysia,Malezja,MYS,7780,7780,22,160,28.08438377636993,122.34870483369177,0.21770840136720876,7.619794047852307,130.40733241895805,3281.7364422093046,122.78753837110574,4.659840848806366,8,MYR,3281.518733807937,90.19348056641505,7547
Mexico,Meksyk,MEX,7475,7475,23,161,44.29373637352416,188.55394217463416,0.49215262637249063,10.802750148876171,201.7333615500839,6639.089714502262,190.93061140120773,4.675913346796402,7,MXN,6638.597561875889,136.7090628812474,6739
Morocco,Maroko,MAR,8292,8292,22,157,55.36044362292051,221.69649765981598,0.3234750462107209,13.77079482439926,258.24861367837343,4777.726432532348,244.47781885397416,NA,NA,MAD,4777.402957486137,143.92665731615563,8085
Netherlands,Holandia,NLD,10130,10130,21,168,39.99,158.43480157946692,0.19,9.99,182.9975,3239,173.0075,4.225398528510117,8,EUR,3238.81,97.66340750160725,9752
New_Zealand,Nowa Zelandia,NZL,6085,6085,21,152,35.47716790836754,141.32150472332742,0.2534083422026253,9.629517003699762,151.53818863716992,3329.7856165424964,141.90867163347016,4.385753077480087,74,NZD,3329.532208200294,100,5790
Norway,Norwegia,NOR,9845,9845,21,172,45.055092117589325,192.192799336769,0.44609002096623096,11.50912254092876,222.59892046214924,3826.114109827363,211.08979792122048,4.372061210294459,54,NOK,3825.668019806397,115.54887031728553,9487
Oman,Oman,OMN,7611,7611,21,155,28.666666666666668,135.31551117534562,0.22222222222222224,7.777777777777778,144.44444444444443,3275.5555555555557,136.66666666666666,4.413970588235294,2,OMR,3275.3333333333335,96.39820559881349,7434
Philippines,Filipiny,PHL,7418,7418,22,141,27.16792716058448,118.27139859066811,0.27902195462221896,7.327997650341435,124.81092591232837,2973.786621631544,117.48292826198694,4.665127272727273,8,PHP,2973.507599676922,87.99447783149823,7139
Poland,Polska,POL,9475,9475,23,168,35.2721160902398,150.47598599808606,0.23672561134389128,9.466657197642213,168.19354685983475,3312.7382051464147,158.72688966219255,4.772303805463445,11,PLN,3312.5014795350708,94.76133330973187,9142
Portugal,Portugalia,PRT,9103,9103,22,167,37,148.52228276392398,0.5,9.99,171,3780,161.01,4.383846059566123,58,EUR,3779.5,100,8869
Qatar,Katar,QAT,8837,8837,21,149,34.11764705882353,143.86018811281443,0.23529411764705882,8.235294117647058,151.76470588235293,3314.1176470588234,143.52941176470586,4.405814307458143,2,QAR,3313.8823529411766,95.18716577540107,8632
Romania,Rumunia,ROU,9377,9377,22,167,36.305120003139905,135.94553305088792,0.1766195027179779,9.400082422434602,164.84486920344605,3306.709578664364,155.44478678101146,4.386585944919278,55,RON,3306.532959161646,93.28456150401759,9181
Saudi_Arabia,Arabia Saudyjska,SAU,7556,7556,23,158,38.58447488584475,156.52102928272552,0.3310502283105023,9.121004566210045,176.9406392694064,2932.648401826484,167.81963470319636,4.4697265625,3,SAR,2932.3173515981734,105.32980315413838,7331
Serbia,Serbia,SRB,8901,8901,21,163,38.33830421815083,145.47362101326974,0.24712398806987645,8.512995313165744,170.4218150830848,3374.503621644653,161.90881976991906,4.387971992998249,59,RSD,3374.256497656583,98.69670023373801,8757
Singapore,Singapur,SGP,7624,7624,21,154,30.08298755186722,131.3139733166214,0.33462722527104805,8.63338241199304,139.8741801632981,3045.1077499665375,131.24079775130505,4.652800995909657,8,SGD,3044.7731227412664,100.07387778477957,7311
Slovakia,Słowacja,SVK,8972,8972,22,167,34.99,147.21154034774855,0.19,8.91,165.575,3178,156.665,4.765119334355156,5,EUR,3177.81,98.37444089456869,8771
Slovenia,Słowenia,SVN,9006,9006,21,166,37,141.13953142349544,0.3,9.99,160,3540,150.01,4.380964153275649,59,EUR,3539.7,100,8845
South Korea,Korea Południowa,KOR,8306,8306,22,161,26.37685416360699,103.43365746182948,0.293728888236158,7.578205316492877,116.90409751799089,2360.9928036422384,109.32589220149802,4.3797236284033385,52,KRW,2360.699074754002,81.11961065540243,7893
Spain,Hiszpania,ESP,9789,9789,23,168,34.99,150.56610378996834,0.29000000000000004,9.99,169,3919,159.01,4.381445178937771,53,EUR,3918.71,100,9320
Sweden,Szwecja,SWE,10722,10722,22,173,37.41455135358157,168.78868285134675,0.46885402698723777,9.283309734347307,187.07275676790786,4076.216910627045,177.78944703356055,4.368355508249069,46,SEK,4075.7480566000577,100.63690835949681,10165
Switzerland,Szwajcaria,CHE,9388,9388,23,166,54.86599297012302,214.93076407978475,0.5492091388400703,13.181019332161688,230.66783831282953,4414.543057996485,217.48681898066783,4.504407443682664,8,CHF,4413.9938488576445,127.44586026505806,9125
Thailand,Tajlandia,THA,7831,7831,23,151,26.97841726618705,125.13208225864254,0.24525833878351866,8.148027032919119,135.98212339219535,2740.6256812731635,127.83409635927623,4.681714805549238,3,THB,2740.38042293438,95.46567482454068,7619
United Arab Emirates,Zjednoczone Emiraty Arabskie,ARE,9242,9242,21,151,33.7995337995338,136.89924657323488,0.22144522144522147,8.158508158508159,150.34965034965035,3236.5967365967367,142.19114219114218,4.4059359388774615,2,AED,3236.3752913752915,93.5614339252143,8909
United Kingdom,Wielka Brytania,GBR,10052,10052,22,172,33.09368937578455,155.67474897961844,0.2852904256533151,7.988131918292822,171.17425539198905,3925.5962569896155,163.18612347369623,4.4562037908321015,9,GBP,3925.310966563962,100,9592
United States of America,Stany Zjednoczone,USA,9953,9953,23,177,38.11096992799661,171.00811169548976,0.2456586192291402,10.16518424396442,169.41126641253706,4315.967810249894,159.24608216857263,4.38370786516854,38,USD,4315.7221516306645,117.87593225796283,8370
