country_clean,country_pl,iso3,median_price_ppp,mean_price_ppp,n_records,n_products,ppp_year,currencies
Egypt,Egipt,EGY,362.47822167512487,1558.4487142703865,8959,8959,2025,EGP
Morocco,Maroko,MAR,151.2760497465147,605.8002467799797,8292,8292,2025,MAD
Jordan,Jordania,JOR,122.53038983799179,494.72228055767755,8643,8643,2025,JOD
India,Indie,IND,100.50277572849963,496.93414141277987,6365,6365,2025,INR
Saudi_Arabia,Arabia Saudyjska,SAU,90.32088843433375,366.3939567740116,7556,7556,2025,SAR
Malaysia,Malezja,MYS,90.16983014312251,392.82193338945285,7780,7780,2025,MYR
Philippines,Filipiny,PHL,90.09646748780715,392.2211346812358,7418,7418,2025,PHP
Romania,Rumunia,ROU,89.95552789656503,336.84097972172805,9377,9377,2024,RON
Serbia,Serbia,SRB,88.94077582163224,337.483281495187,8901,8901,2024,RSD
Thailand,Tajlandia,THA,84.52781517279155,392.0593790578578,7831,7831,2021,THB
Colombia,Kolumbia,COL,84.28901649804048,299.107476184249,5181,5181,2024,COP
Mexico,Meksyk,MEX,83.32331139060219,354.6988835002321,7475,7475,2024,MXN
Croatia,Chorwacja,HRV,80.94384208101636,293.66446391239685,8971,8971,2024,EUR
Kuwait,Kuwejt,KWT,76.15158414055081,304.9308031035489,8543,8543,2025,KWD
Chile,Chile,CHL,75.26737794905287,255.60604751786352,6903,6903,2024,CLP
