iso3,ppp_year,ppp_lcu_per_int_dollar
ABW,2021,1.51344382762909
AFG,2024,13.9880484201057
AGO,2025,364.102689305428
ALB,2024,45.8630516780038
AND,2021,0.639068841934204
ARE,2024,2.56310995667988
ARG,2021,42.9862403869629
ARM,2025,158.529692605186
ASM,2021,0.903446389799177
ATG,2024,2.22022256756556
AUS,2024,1.427398
AUT,2024,0.720487
AZE,2025,0.542946118780084
BDI,2025,1344.64114331703
BEL,2024,0.752163
BEN,2025,196.180920904835
BFA,2025,193.10732357826
BGD,2025,34.9406280714451
BGR,2024,0.762747848415487
BHR,2025,0.18346131214322
BHS,2024,1.10675765538476
BIH,2024,0.736374480157323
BLR,2025,0.848605879235492
BLZ,2025,1.08762083040378
BMU,2021,1.44135057926178
BOL,2025,2.69923478338388
BRA,2025,2.58149013637329
BRB,2021,2.63730001449585
BRN,2024,0.542903839087224
BTN,2024,20.8781117802223
BWA,2025,5.31072994497825
CAF,2024,263.364567667287
CAN,2024,1.240903
CHE,2024,1.107209
CHL,2024,464.876032
CHN,2025,3.4595580434271
CIV,2025,228.25698833293
CMR,2025,209.008402147983
COD,2021,928.602478027344
COG,2024,231.937318675397
COL,2024,1542.193816
COM,2025,253.731980130598
CPV,2025,52.9795427699384
CRI,2024,328.046587
CUW,2021,1.409050822258
CYM,2021,1.16750240325928
CYP,2024,0.590788871336922
CZE,2024,14.326373
DEU,2024,0.701547
DJI,2021,96.9307632446289
DMA,2024,1.55791829009471
DNK,2024,6.764411
DOM,2025,23.8084706913574
DZA,2024,42.2629402229537
ECU,2025,0.441506220037222
EGY,2025,7.72184322430448
ERI,2021,5.19667768478394
ESP,2024,0.588481
EST,2024,0.646078
ETH,2025,27.005731445297
FIN,2024,0.788236
FJI,2025,0.88944980645223
FRA,2024,0.716934
FRO,2021,6.53218603134155
FSM,2022,0.926676076751688
GAB,2025,280.849994724835
GBR,2024,0.682739
GEO,2025,1.08749274580272
GHA,2024,4.7210056114281
GIN,2024,3583.76956376982
GMB,2024,19.3888347432863
GNB,2025,224.853869936628
GNQ,2024,275.679106178901
GRC,2024,0.557795
GRD,2024,1.70258011372832
GRL,2021,5.48598432540894
